Location(x=-15.375610, y=2.586752, z=0.000000)
Location(x=-13.875616, y=2.583101, z=0.000000)
Location(x=-12.375620, y=2.579450, z=0.000000)
Location(x=-10.875626, y=2.575799, z=0.000000)
Location(x=-9.375629, y=2.572148, z=0.000000)
Location(x=-7.875633, y=2.568496, z=0.000000)
Location(x=-6.375638, y=2.564846, z=0.000000)
Location(x=-4.875642, y=2.561194, z=0.000000)
Location(x=-3.375646, y=2.557543, z=0.000000)
Location(x=-1.875652, y=2.553892, z=0.000000)
